content,score,text_clean,text_stopword,text_slang,text_no_stopwords
Tokopedia semakin ga bener. Ga tgg jwb. Mslh komplain ga di ladenin. Si penjual nipu tdk kirimin brg yg di pesen.cm di kirimin plastik.Tiba2 komplain di klik Tokopedia sendiri selesai.bkn aku yg klik selesai. Pdhl blm selesai komplain. Trus ga tgg jwb ga balikin dana.sialan Tokopedia thu!!!,1,tokopedia semakin ga bener ga tgg jwb mslh komplain ga di ladenin si penjual nipu tdk kirimin brg yg di pesencm di kirimin plastiktiba komplain di klik tokopedia sendiri selesaibkn aku yg klik selesai pdhl blm selesai komplain trus ga tgg jwb ga balikin danasialan tokopedia thu,tokopedia ga bener ga tgg jwb mslh komplain ga ladenin si penjual nipu tdk kirimin brg yg pesencm kirimin plastiktiba komplain klik tokopedia selesaibkn yg klik selesai pdhl blm selesai komplain trus ga tgg jwb ga balikin danasialan tokopedia thu,tokopedia enggak benar enggak tgg jawab masalah komplain enggak meladeni sih penjual nipu tidak mengirimi bareng yang pesencm mengirimi plastiktiba komplain klik tokopedia selesaibkn yang klik selesai padahal belum selesai komplain terus enggak tgg jawab enggak balikin danasialan tokopedia itu,tokopedia tgg komplain meladeni sih penjual nipu mengirimi bareng pesencm mengirimi plastiktiba komplain klik tokopedia selesaibkn klik selesai selesai komplain tgg balikin danasialan tokopedia
Sudah tmbah baik,5,sudah tmbah baik,tmbah,tambah,
ok,5,ok,ok,ok,ok
ok,4,ok,ok,ok,ok
good 👍,5,good ,good,good,good
"KEMBALIKAN UI LAMA!! UI BARU (18 OKTOBER 2024) SANGAT JELEK, PEMBERITAHUAN MALAH DIGABUNG SAMA PESAN, JADI TIDAK BISA MEMBEDAKAN MANA PEMBERITAHUAN MANA PESAN!",1,kembalikan ui lama ui baru  oktober  sangat jelek pemberitahuan malah digabung sama pesan jadi tidak bisa membedakan mana pemberitahuan mana pesan,kembalikan ui ui oktober jelek pemberitahuan digabung pesan membedakan pemberitahuan pesan,kembalikan ui ui oktober jelek pemberitahuan digabung pesan membedakan pemberitahuan pesan,kembalikan ui ui oktober jelek pemberitahuan digabung pesan membedakan pemberitahuan pesan
bagus,5,bagus,bagus,bagus,bagus
Sudah ber kali kali saya gagal up date Apakah ada solusi?,2,sudah ber kali kali saya gagal up date apakah ada solusi,ber kali kali gagal up date solusi,ber kali kali gagal up date solusi,ber kali kali gagal up date solusi
"Lama prosesnya dr tokopedia Kurir bermasalah pasti ada aja barang gak sampai tujuan, info nya sudah diterima yang bersangkutan barang kagak ada tindakan dr Tokopedia lambat (kurir yang masalah jangan di pakai)",1,lama prosesnya dr tokopedia kurir bermasalah pasti ada aja barang gak sampai tujuan info nya sudah diterima yang bersangkutan barang kagak ada tindakan dr tokopedia lambat kurir yang masalah jangan di pakai,prosesnya dr tokopedia kurir bermasalah aja barang gak tujuan info nya diterima bersangkutan barang kagak tindakan dr tokopedia lambat kurir pakai,prosesnya dari tokopedia kurir bermasalah saja barang enggak tujuan info nya diterima bersangkutan barang kagak tindakan dari tokopedia lambat kurir pakai,prosesnya tokopedia kurir bermasalah barang tujuan info nya diterima bersangkutan barang kagak tindakan tokopedia lambat kurir pakai
"Tokopedia pliiss jangan kerjasama lagi dengan ID express, lamaaa banget kurirnya saya pesen dari tnggal 10 oct smpek sekarang tanggal 18 oct belum sampai juga,",3,tokopedia pliiss jangan kerjasama lagi dengan id express lamaaa banget kurirnya saya pesen dari tnggal  oct smpek sekarang tanggal  oct belum sampai juga,tokopedia pliiss kerjasama id express lamaaa banget kurirnya pesen tnggal oct smpek tanggal oct,tokopedia pliiss kerjasama id express lamaaa banget kurirnya pesan tnggal oct smpek tanggal oct,tokopedia pliiss kerjasama id express lamaaa banget kurirnya pesan tnggal oct smpek tanggal oct
Ok,5,ok,ok,ok,ok
Aplikasi bodat ini temen gua di PHP in promo gabisa undang teman udh rugi brengsek Emang,1,aplikasi bodat ini temen gua di php in promo gabisa undang teman udh rugi brengsek emang,aplikasi bodat temen gua php in promo gabisa undang teman udh rugi brengsek emang,aplikasi bodat teman gua php ini promo enggak bisa undang teman sudah rugi brengsek memang,aplikasi bodat teman gua php promo undang teman rugi brengsek
aplikasi nya udh bagus tpi yg jadi masalah diskon nya selalu vepat habis,3,aplikasi nya udh bagus tpi yg jadi masalah diskon nya selalu vepat habis,aplikasi nya udh bagus tpi yg diskon nya vepat habis,aplikasi nya sudah bagus tapi yang diskon nya vepat habis,aplikasi nya bagus diskon nya vepat habis
"Gw dapet voucher 20rb, tiba2 dibatalin sistem, pembayaran via transfer bank, gw mau tarik saldo gak bisa katanya min 10rb, sedangkan gw transaksi cuman 5rb, otomatis gak bisa di tarik, kan konyol anjg!!",1,gw dapet voucher rb tiba dibatalin sistem pembayaran via transfer bank gw mau tarik saldo gak bisa katanya min rb sedangkan gw transaksi cuman rb otomatis gak bisa di tarik kan konyol anjg,gw dapet voucher rb dibatalin sistem pembayaran via transfer bank gw tarik saldo gak min rb gw transaksi cuman rb otomatis gak tarik konyol anjg,gue dapat voucher ribu dibatalin sistem pembayaran via transfer bank gue tarik saldo enggak min ribu gue transaksi cuman ribu otomatis enggak tarik konyol anjg,gue voucher ribu dibatalin sistem pembayaran via transfer bank gue tarik saldo min ribu gue transaksi cuman ribu otomatis tarik konyol anjg
"mantab, cepat dan ringkas",5,mantab cepat dan ringkas,mantab cepat ringkas,mantab cepat ringkas,mantab cepat ringkas
"GAJELAS, kalian klo mau download tokped mending pikir DUA KALI dh, soalnya tokped skrng gajelas. Masa saya pelanggan pertama dapet voucher pas udh digunain DIBATALKAN OLEH SISTEM kn aneh. trus pas saya mau PESEN ULANG malah VOUCHER NYA ILANG begitu ajh kan KOCAK YAAKK",1,gajelas kalian klo mau download tokped mending pikir dua kali dh soalnya tokped skrng gajelas masa saya pelanggan pertama dapet voucher pas udh digunain dibatalkan oleh sistem kn aneh trus pas saya mau pesen ulang malah voucher nya ilang begitu ajh kan kocak yaakk,gajelas klo download tokped mending pikir kali dh tokped skrng gajelas pelanggan dapet voucher pas udh digunain dibatalkan sistem kn aneh trus pas pesen ulang voucher nya ilang ajh kocak yaakk,enggak jelas kalo download tokped mending pikir kali dah tokped sekarang enggak jelas pelanggan dapat voucher pas sudah digunain dibatalkan sistem kan aneh terus pas pesan ulang voucher nya hilang saja kocak ya,kalo download tokped mending pikir kali dah tokped pelanggan voucher pas digunain dibatalkan sistem aneh pas pesan ulang voucher nya hilang kocak ya
mantap lah oke ini ijo,5,mantap lah oke ini ijo,mantap oke ijo,mantap oke ijo,mantap oke ijo
Susah benar masuk ke tokopedia.,1,susah benar masuk ke tokopedia,susah masuk tokopedia,susah masuk tokopedia,susah masuk tokopedia
"Pas mo CO bsa pakai kupon, abis CO tau² dibatalkan.. Aneh emang, mana katanya manipulasi.. Aplikasi kog aneh, ga jelas, buang² waktu jg..",1,pas mo co bsa pakai kupon abis co tau dibatalkan aneh emang mana katanya manipulasi aplikasi kog aneh ga jelas buang waktu jg,pas mo co bsa pakai kupon abis co tau dibatalkan aneh emang manipulasi aplikasi kog aneh ga buang jg,pas mau cowok bisa pakai kupon habis cowok tau dibatalkan aneh memang manipulasi aplikasi kok aneh enggak buang juga,pas cowok pakai kupon habis cowok tau dibatalkan aneh manipulasi aplikasi aneh buang
Aplikasi aneh bikin pin aja ribet,1,aplikasi aneh bikin pin aja ribet,aplikasi aneh bikin pin aja ribet,aplikasi aneh bikin pin saja ribet,aplikasi aneh bikin pin ribet
Aku kasih bintang 5 ko lama banget mengingsal,5,aku kasih bintang  ko lama banget mengingsal,kasih bintang ko banget mengingsal,kasih bintang kok banget mengingsal,kasih bintang banget mengingsal
"Sekarang keamanan tokped sangat bokbrok Barusan saya rugi 2 juta,akibat dari pembeli licik Untuk sekarang banyak pembeli yang curang sistemnya dia barang dapet uang dapet",2,sekarang keamanan tokped sangat bokbrok barusan saya rugi  jutaakibat dari pembeli licik untuk sekarang banyak pembeli yang curang sistemnya dia barang dapet uang dapet,keamanan tokped bokbrok barusan rugi jutaakibat pembeli licik pembeli curang sistemnya barang dapet uang dapet,keamanan tokped bokbrok barusan rugi jutaakibat pembeli licik pembeli curang sistemnya barang dapat uang dapat,keamanan tokped bokbrok barusan rugi jutaakibat pembeli licik pembeli curang sistemnya barang uang
"Kupon cuma pajangan,tiap mau beli pakai kupon selalu tidak bisa,mengecewakan sekali,gimana mau bersaing dengan olshop lain kalau begini?",1,kupon cuma pajangantiap mau beli pakai kupon selalu tidak bisamengecewakan sekaligimana mau bersaing dengan olshop lain kalau begini,kupon pajangantiap beli pakai kupon bisamengecewakan sekaligimana bersaing olshop,kupon pajangantiap beli pakai kupon bisamengecewakan sekaligimana bersaing olshop,kupon pajangantiap beli pakai kupon bisamengecewakan sekaligimana bersaing olshop
Saya hapus 2 bintang karena pembayaran cicilan tokopedia card saya di tolak secara sepihak. Bikin rusak BI checking aja,3,saya hapus  bintang karena pembayaran cicilan tokopedia card saya di tolak secara sepihak bikin rusak bi checking aja,hapus bintang pembayaran cicilan tokopedia card tolak bikin rusak bi checking aja,hapus bintang pembayaran cicilan tokopedia card tolak bikin rusak bi checking saja,hapus bintang pembayaran cicilan tokopedia card tolak bikin rusak bi checking
Hati2 sama tokopedia .klo barang blm di kirim sampe batas waktu tanggal tdak ada tanggapan apa respon sama pihak Tokopedia apa penjual..lama2 PD males pke Tokopedia mnding pake apk yg lain,1,hati sama tokopedia klo barang blm di kirim sampe batas waktu tanggal tdak ada tanggapan apa respon sama pihak tokopedia apa penjuallama pd males pke tokopedia mnding pake apk yg lain,hati tokopedia klo barang blm kirim sampe batas tanggal tdak tanggapan respon tokopedia penjuallama pd males pke tokopedia mnding pake apk yg,hati tokopedia kalo barang belum kirim sampai batas tanggal tidak tanggapan respon tokopedia penjuallama pada malas pakai tokopedia mending pakai apk yang,hati tokopedia kalo barang kirim batas tanggal tanggapan respon tokopedia penjuallama malas pakai tokopedia mending pakai apk
Mantap,5,mantap,mantap,mantap,mantap
"Pengiriman lama,outo un instal",1,pengiriman lamaouto un instal,pengiriman lamaouto un instal,pengiriman lamaouto un instal,pengiriman lamaouto un instal
Susah tarik saldo,1,susah tarik saldo,susah tarik saldo,susah tarik saldo,susah tarik saldo
mudah dn nyaman belanja d Tokopedia,5,mudah dn nyaman belanja d tokopedia,mudah dn nyaman belanja d tokopedia,mudah dan nyaman belanja di tokopedia,mudah nyaman belanja tokopedia
mantap,5,mantap,mantap,mantap,mantap
"Tolol anying di kasih kupon promo pas di pakai di checkout uang udah di transfer malah refund ,, katanya melebihi kapasitas promo , buat apa di kasih promo blog,, pengiriman next day tapi udah 2 hari belum nyampe kocak",1,tolol anying di kasih kupon promo pas di pakai di checkout uang udah di transfer malah refund  katanya melebihi kapasitas promo  buat apa di kasih promo blog pengiriman next day tapi udah  hari belum nyampe kocak,tolol anying kasih kupon promo pas pakai checkout uang udah transfer refund melebihi kapasitas promo kasih promo blog pengiriman next day udah nyampe kocak,tolol anying kasih kupon promo pas pakai checkout uang sudah transfer refund melebihi kapasitas promo kasih promo blog pengiriman next day sudah sampai kocak,tolol anying kasih kupon promo pas pakai checkout uang transfer refund melebihi kapasitas promo kasih promo blog pengiriman next day kocak
Lebih relevant,5,lebih relevant,relevant,relevant,relevant
ok,5,ok,ok,ok,ok
"Saya kasih bintang 5 lagi, kemarin sempet setiap kali belanja di batalkan sistem",5,saya kasih bintang  lagi kemarin sempet setiap kali belanja di batalkan sistem,kasih bintang kemarin sempet kali belanja batalkan sistem,kasih bintang kemarin sempat kali belanja batalkan sistem,kasih bintang kemarin kali belanja batalkan sistem
"Beli hp 8.7jt Payment gopay latter 12bln jatuhnya 12,6jt gilee 😹😹😹",1,beli hp jt payment gopay latter bln jatuhnya jt gilee ,beli hp jt payment gopay latter bln jatuhnya jt gilee,beli hp juta payment gopay latter bulan jatuhnya juta gilee,beli hp juta payment gopay latter jatuhnya juta gilee
"Penjual tidak mengirim barang saya sudah 3 hari dan tokopedia diam saja saat dikomplain, karena menunggu waktu estimasi yang terlalu lama hingga 1 minggu !! padahal yang saya pesan adalah obat untuk bapak saya, penjual dan tokopedia tidak memberikan respon apapun ! masak harus nunggu 1 minggu dulu cuk ! estimasi waktu yg bodoh ! 💩",2,penjual tidak mengirim barang saya sudah  hari dan tokopedia diam saja saat dikomplain karena menunggu waktu estimasi yang terlalu lama hingga  minggu  padahal yang saya pesan adalah obat untuk bapak saya penjual dan tokopedia tidak memberikan respon apapun  masak harus nunggu  minggu dulu cuk  estimasi waktu yg bodoh  ,penjual mengirim barang tokopedia diam dikomplain menunggu estimasi minggu pesan obat penjual tokopedia respon apapun masak nunggu minggu cuk estimasi yg bodoh,penjual mengirim barang tokopedia diam dikomplain menunggu estimasi minggu pesan obat penjual tokopedia respon apapun masak menunggu minggu cuk estimasi yang bodoh,penjual mengirim barang tokopedia diam dikomplain menunggu estimasi minggu pesan obat penjual tokopedia respon apapun masak menunggu minggu cuk estimasi bodoh
selama belanja disini barang bagus dan proses jg cepat sukses selalu buat tokopedia,5,selama belanja disini barang bagus dan proses jg cepat sukses selalu buat tokopedia,belanja barang bagus proses jg cepat sukses tokopedia,belanja barang bagus proses juga cepat sukses tokopedia,belanja barang bagus proses cepat sukses tokopedia
ini udah bisa login. cuma history semua hilang bersih. jadi pengguna baru. tapi kupon nya gak bisa dipake yang beli rp100 gak jelas juga tokopedia ini,1,ini udah bisa login cuma history semua hilang bersih jadi pengguna baru tapi kupon nya gak bisa dipake yang beli rp gak jelas juga tokopedia ini,udah login history hilang bersih pengguna kupon nya gak dipake beli rp gak tokopedia,sudah login history hilang bersih pengguna kupon nya enggak dipakai beli rp enggak tokopedia,login history hilang bersih pengguna kupon nya dipakai beli rp tokopedia
bagus puas belanja disini,5,bagus puas belanja disini,bagus puas belanja,bagus puas belanja,bagus puas belanja
sangat cepat dalam melakukan pencarian,5,sangat cepat dalam melakukan pencarian,cepat pencarian,cepat pencarian,cepat pencarian
banyak manfaatnya,5,banyak manfaatnya,manfaatnya,manfaatnya,manfaatnya
belaja jadi hemat tapi syg gak bisa playleter,5,belaja jadi hemat tapi syg gak bisa playleter,belaja hemat syg gak playleter,belaja hemat sayang enggak playleter,belaja hemat sayang playleter
"Tidak jelas, banyak bug, tidak bisa memakai diskon pengguna pertama",1,tidak jelas banyak bug tidak bisa memakai diskon pengguna pertama,bug memakai diskon pengguna,bug memakai diskon pengguna,bug memakai diskon pengguna
kasih bintang 4 dulu kalo pengiriman mantap aku tambahin lagi 🙏,4,kasih bintang  dulu kalo pengiriman mantap aku tambahin lagi ,kasih bintang kalo pengiriman mantap tambahin,kasih bintang kalo pengiriman mantap tambahkan,kasih bintang kalo pengiriman mantap tambahkan
sangat membantu,5,sangat membantu,membantu,membantu,membantu
"Sinting, mau belanja dibatalkan sistem",1,sinting mau belanja dibatalkan sistem,sinting belanja dibatalkan sistem,sinting belanja dibatalkan sistem,sinting belanja dibatalkan sistem
terima kasih sudah bantu,5,terima kasih sudah bantu,terima kasih bantu,terima kasih bantu,terima kasih bantu
ok,5,ok,ok,ok,ok
wow,5,wow,wow,wow,wow
Wah bagus,5,wah bagus,bagus,bagus,bagus
"..,......... .... .....",5,  ,,,
masterpiece,5,masterpiece,masterpiece,masterpiece,masterpiece
dari segi kecepatan pengiriman jauh lebih baik shoope pernah barang saya di tahan sama penjual nga dikirim2 alhasil cansel sistem. tolong pihak tokopedia bisa memberi sangsi penjual yang sengaja menahan pengiriman sampai tercansel by sistem. karna jika pembeli membutuhkan barang itu sangat merugikan sekali. contoh anak saya pernah beli buku.tapi ditahan penjual sampai cansel. alhasil saya buang waktu 3/4 hari menunggu dan ujungnya cansel. btw tapi kalo dari segi promo jauh lebih baik tokopedia.,5,dari segi kecepatan pengiriman jauh lebih baik shoope pernah barang saya di tahan sama penjual nga dikirim alhasil cansel sistem tolong pihak tokopedia bisa memberi sangsi penjual yang sengaja menahan pengiriman sampai tercansel by sistem karna jika pembeli membutuhkan barang itu sangat merugikan sekali contoh anak saya pernah beli bukutapi ditahan penjual sampai cansel alhasil saya buang waktu  hari menunggu dan ujungnya cansel btw tapi kalo dari segi promo jauh lebih baik tokopedia,segi kecepatan pengiriman shoope barang tahan penjual nga dikirim alhasil cansel sistem tolong tokopedia sangsi penjual sengaja menahan pengiriman tercansel by sistem karna pembeli membutuhkan barang merugikan contoh anak beli bukutapi ditahan penjual cansel alhasil buang menunggu ujungnya cansel btw kalo segi promo tokopedia,segi kecepatan pengiriman shoope barang tahan penjual enggak dikirim alhasil cansel sistem tolong tokopedia sangsi penjual sengaja menahan pengiriman tercansel by sistem karena pembeli membutuhkan barang merugikan contoh anak beli bukutapi ditahan penjual cansel alhasil buang menunggu ujungnya cansel btw kalo segi promo tokopedia,segi kecepatan pengiriman shoope barang tahan penjual dikirim alhasil cansel sistem tolong tokopedia sangsi penjual sengaja menahan pengiriman tercansel by sistem pembeli membutuhkan barang merugikan contoh anak beli bukutapi ditahan penjual cansel alhasil buang menunggu ujungnya cansel btw kalo segi promo tokopedia
"salam sehat, semoga berkah untuk toko yang mempermudah U/ mendapatkan kebutuhan kesehatan",5,salam sehat semoga berkah untuk toko yang mempermudah u mendapatkan kebutuhan kesehatan,salam sehat semoga berkah toko mempermudah u kebutuhan kesehatan,salam sehat semoga berkah toko mempermudah lu kebutuhan kesehatan,salam sehat semoga berkah toko mempermudah lu kebutuhan kesehatan
top bgt deh,5,top bgt deh,top bgt deh,top banget deh,top banget deh
mantap,5,mantap,mantap,mantap,mantap
Jos,5,jos,jos,jos,jos
Beli barang dr tanggal 10 sampe tgl 18 gaada kejelasan,1,beli barang dr tanggal  sampe tgl  gaada kejelasan,beli barang dr tanggal sampe tgl gaada kejelasan,beli barang dari tanggal sampai tanggal enggak ada kejelasan,beli barang tanggal tanggal kejelasan
"Tokopedia masalah pengririman kalah, jauh jauh kalah sama ecomrce sebelah, ini yg saya tidak suka dari tokopedia menggunakan jasa ekspedisi luar yang kualitasnya bener bener buruk, yg lain bisa 24 jam sampe kalo ekspedisi ekspedisi yg dipilih sama tokopedia biaa 7 hari baru sampe.",1,tokopedia masalah pengririman kalah jauh jauh kalah sama ecomrce sebelah ini yg saya tidak suka dari tokopedia menggunakan jasa ekspedisi luar yang kualitasnya bener bener buruk yg lain bisa  jam sampe kalo ekspedisi ekspedisi yg dipilih sama tokopedia biaa  hari baru sampe,tokopedia pengririman kalah kalah ecomrce sebelah yg suka tokopedia jasa ekspedisi kualitasnya bener bener buruk yg jam sampe kalo ekspedisi ekspedisi yg dipilih tokopedia biaa sampe,tokopedia pengririman kalah kalah ecomrce sebelah yang suka tokopedia jasa ekspedisi kualitasnya benar benar buruk yang jam sampai kalo ekspedisi ekspedisi yang dipilih tokopedia biaa sampai,tokopedia pengririman kalah kalah ecomrce sebelah suka tokopedia jasa ekspedisi kualitasnya buruk jam kalo ekspedisi ekspedisi dipilih tokopedia biaa
Thankss goddd,5,thankss goddd,thankss goddd,thankss goddd,thankss goddd
sangat membantu sekali,5,sangat membantu sekali,membantu,membantu,membantu
amanah dan dapat di percaya,5,amanah dan dapat di percaya,amanah percaya,amanah percaya,amanah percaya
good goood gooood,5,good goood gooood,good goood gooood,good goood gooood,good goood gooood
toko pedia yang terbaik👍💯,5,toko pedia yang terbaik,toko pedia terbaik,toko pedia terbaik,toko pedia terbaik
Top ngeri ah,4,top ngeri ah,top ngeri ah,top ngeri ah,top ngeri ah
sip mantap,5,sip mantap,sip mantap,sip mantap,sip mantap
bagus aj,4,bagus aj,bagus aj,bagus saja,bagus
Semua brg serba mahal2 disini 😂😂😂,1,semua brg serba mahal disini ,brg serba mahal,bareng serba mahal,bareng serba mahal
"Aplikasi kok memaksa minta update mulu, bagus sih bagus tapi ngeselin memakan memory hp dan data aja, alasan kesetabilan masak setiap dua minggu minta di update mulu. Kini update kembali malah hilang semua data saya mesti isi ulang data dan alamat nomer hp, makin memberatkan hp saya.",1,aplikasi kok memaksa minta update mulu bagus sih bagus tapi ngeselin memakan memory hp dan data aja alasan kesetabilan masak setiap dua minggu minta di update mulu kini update kembali malah hilang semua data saya mesti isi ulang data dan alamat nomer hp makin memberatkan hp saya,aplikasi memaksa update mulu bagus sih bagus ngeselin memakan memory hp data aja alasan kesetabilan masak minggu update mulu update hilang data mesti isi ulang data alamat nomer hp memberatkan hp,aplikasi memaksa update mulu bagus sih bagus mengesalkan memakan memory hp data saja alasan kesetabilan masak minggu update mulu update hilang data mesti isi ulang data alamat nomer hp memberatkan hp,aplikasi memaksa update mulu bagus sih bagus mengesalkan memakan memory hp data alasan kesetabilan masak minggu update mulu update hilang data mesti isi ulang data alamat nomer hp memberatkan hp
Update malah bikin lemot,2,update malah bikin lemot,update bikin lemot,update bikin lemot,update bikin lemot
Lelet dtng barang nya,1,lelet dtng barang nya,lelet dtng barang nya,lelet dtng barang nya,lelet dtng barang nya
pengiriman lamaa dari tgl 2 sampai tgl 10 belom sampai terimakasih,2,pengiriman lamaa dari tgl  sampai tgl  belom sampai terimakasih,pengiriman lamaa tgl tgl belom terimakasih,pengiriman lamaa tanggal tanggal belum terimakasih,pengiriman lamaa tanggal tanggal terimakasih
"ada kupon tapi dipke sllu aja gabisa, bikin berharap ajaa, klo mau mesen barang juga selalu dibatalkan sistem, smg lebih baik kedepannya.",1,ada kupon tapi dipke sllu aja gabisa bikin berharap ajaa klo mau mesen barang juga selalu dibatalkan sistem smg lebih baik kedepannya,kupon dipke sllu aja gabisa bikin berharap ajaa klo mesen barang dibatalkan sistem smg kedepannya,kupon dipke selalu saja enggak bisa bikin berharap saja kalo mesen barang dibatalkan sistem semoga kedepannya,kupon dipke bikin berharap kalo mesen barang dibatalkan sistem semoga kedepannya
"ECommerce Miskin, Cashback selalu di batalkan tanpa sebab, mending tutup aja jualan bubur ayam noh.",1,ecommerce miskin cashback selalu di batalkan tanpa sebab mending tutup aja jualan bubur ayam noh,ecommerce miskin cashback batalkan mending tutup aja jualan bubur ayam noh,ecommerce miskin cashback batalkan mending tutup saja jualan bubur ayam noh,ecommerce miskin cashback batalkan mending tutup jualan bubur ayam noh
"Kurir ID EXPRESS sangat lambat, jadi malas belanja di Tokopedia ini. Beda dengan kurir Shopee dan Lazada, gratis ongkir sehari sampai.",1,kurir id express sangat lambat jadi malas belanja di tokopedia ini beda dengan kurir shopee dan lazada gratis ongkir sehari sampai,kurir id express lambat malas belanja tokopedia beda kurir shopee lazada gratis ongkir sehari,kurir id express lambat malas belanja tokopedia beda kurir shopee lazada gratis ongkir sehari,kurir id express lambat malas belanja tokopedia beda kurir shopee lazada gratis ongkir sehari
terbaik,5,terbaik,terbaik,terbaik,terbaik
"Jauh mending shoopy,, aplikasi ga jelas",1,jauh mending shoopy aplikasi ga jelas,mending shoopy aplikasi ga,mending shoopy aplikasi enggak,mending shoopy aplikasi
