content,score
"Sinting, mau belanja dibatalkan sistem",1
terima kasih sudah bantu,5
ok,5
wow,5
Wah bagus,5
"..,......... .... .....",5
masterpiece,5
dari segi kecepatan pengiriman jauh lebih baik shoope pernah barang saya di tahan sama penjual nga dikirim2 alhasil cansel sistem. tolong pihak tokopedia bisa memberi sangsi penjual yang sengaja menahan pengiriman sampai tercansel by sistem. karna jika pembeli membutuhkan barang itu sangat merugikan sekali. contoh anak saya pernah beli buku.tapi ditahan penjual sampai cansel. alhasil saya buang waktu 3/4 hari menunggu dan ujungnya cansel. btw tapi kalo dari segi promo jauh lebih baik tokopedia.,5
"salam sehat, semoga berkah untuk toko yang mempermudah U/ mendapatkan kebutuhan kesehatan",5
top bgt deh,5
mantap,5
Jos,5
Beli barang dr tanggal 10 sampe tgl 18 gaada kejelasan,1
"Tokopedia masalah pengririman kalah, jauh jauh kalah sama ecomrce sebelah, ini yg saya tidak suka dari tokopedia menggunakan jasa ekspedisi luar yang kualitasnya bener bener buruk, yg lain bisa 24 jam sampe kalo ekspedisi ekspedisi yg dipilih sama tokopedia biaa 7 hari baru sampe.",1
Thankss goddd,5
sangat membantu sekali,5
amanah dan dapat di percaya,5
good goood gooood,5
toko pedia yang terbaik👍💯,5
Top ngeri ah,4
sip mantap,5
bagus aj,4
Semua brg serba mahal2 disini 😂😂😂,1
"Aplikasi kok memaksa minta update mulu, bagus sih bagus tapi ngeselin memakan memory hp dan data aja, alasan kesetabilan masak setiap dua minggu minta di update mulu. Kini update kembali malah hilang semua data saya mesti isi ulang data dan alamat nomer hp, makin memberatkan hp saya.",1
Update malah bikin lemot,2
Lelet dtng barang nya,1
pengiriman lamaa dari tgl 2 sampai tgl 10 belom sampai terimakasih,2
"ada kupon tapi dipke sllu aja gabisa, bikin berharap ajaa, klo mau mesen barang juga selalu dibatalkan sistem, smg lebih baik kedepannya.",1
"ECommerce Miskin, Cashback selalu di batalkan tanpa sebab, mending tutup aja jualan bubur ayam noh.",1
"Kurir ID EXPRESS sangat lambat, jadi malas belanja di Tokopedia ini. Beda dengan kurir Shopee dan Lazada, gratis ongkir sehari sampai.",1
terbaik,5
"Jauh mending shoopy,, aplikasi ga jelas",1
"Pengiriman buruk dan lama banget ,sering nyasar juga Beda ama toko sebelah",1
ok.,5
sering2 aja diskon kya gini 😁,5
Jgn pernah instal apk ini sangat jelek saya sangat kecewa sama toko pedia,1
Bagus tapi selalu upgrade,5
"pengiriman lama, di komplain feedback nya lama dan waktu investogasi harus nunggu 7 hari",1
"Sebagai pengguna baru saya merasa kecewa, karena akun saya dinilai manipulatif gara"" minta tolong transfer untuk pembayaran ke saudara saya. Salah saya dimana? Sehingga pemesanan sana di batalkan",1
selalu dapat diskon belanja d Tokopedia 😍,5
sangat puas,5
mantap,5
komisi affiliate sering ga masuk padahal pembeli udah menyelesaikan pembeliannya,2
tidak jelas,1
buat Tokopedia saran saya mending hapus jne dari kurir rekomendasi banyak paket yang tertahan gajelas bisa sampe 1 bulan,1
toko yg super lengkap dan terjamin ke aslian nya...terimakasih tokopedia,5
Baru mau pake.. Pas liat komentar disini.. Ngeri semua.. Pada bintang 1 semua.. Alamat deh.. Apus aplikasi.,1
masih banyak aplikasi lain yg lebih bagus,1
Aplikasi yang membantu penjual dan pembeli👍,5
Aplikasi tipu2...dua kali beli uang udah di tranfer di kemblaikan alasan penjual tidak merespon uang di bekukan di saldo tokopedia dan tak bisa di gunakan...cok nan,1
vocer hoax gak bisa di pake promo pengguna baru tidak bisa di pake,1
smg makin terpercaya dan amanah.. serta ada sanksi tegas buat online store nakal,4
"Lama banget pesanan sampaiii, jadi bikin kapok",1
"Khusus buat kurir, kalau niat kerja yaa kerja jangan cuman ada duitnya aja",1
"tidak bisa chat dgn cs ketika pesanan. katanya Costumer Servis Winning Award. tapi kalah ama aplikasi shopee. pengecekan di web jne nya juga tidak terdaftar paket saya, harus di tokped. tapi tokped ya tidak jelas. saya tidak menemukan solusi",1
"VOC SPESIAL UNTUK KAMU KAN ADA TIAP BULAN, BULAN INI SAYA BELUM PAKE, TP KOK GA BISA DIPAKE? KETERANGANNYA PROMO TDK BISA DIPAKE?! PADAHAL SAYA CUMA ADA SATU AKUN ITU LOH DI HP GA PERNAH GABUNG² AKUN LAIN, BIASANYA BISA, NAH BULAN INI GABISA? PERBAIKI WOII JANGAN VOCNYA CUMA IMING² BIAR LARIS DOANG! YG JELAS SAYA GAADA PELANGGARAN APAPUN YA! AKUN CUMA SATU & MAKE VOC SPESIAL UNTUK KAMU ITU UDH BUKAN YG PERTAMA KALINYA, KARENA TIAP BULAN ITU ADA & SELALU BISA, KALI INI GA BISA.",1
"Banyak yg tdk bisa COD, dan ketika mau memberi ulasan atas barang yg di beli tdk bisa.",3
manteppp... banyak diskon,5
sangat bagus,5
"tokopedia emang mantep,khusus pembelian pertama aj diskonnya gde bgt,sukses selalu tokopedia",5
kerennn diskon gede byk disiniii,5
👍👍,5
sukses selalu,5
Tokopedia belanja online super keren 🔥 juga oke.,5
YUK BISA BANGKRUT YU,1
Tidak bisa check out,1
"gajelass. kurir belum sampe/chat tapi konfirmasi paket nya di retur alsan nya ""penerima tidak merasa memesan"", padahal payment via e-wallet",1
Sangat Bermanfaat,5
toko pedia memberikan banyak promo yang membuat kita bisa lebih hemat dalam belanja. terima kasih tokopedia🙏🙏,5
"beli paket gak ada yang sampe, mending pake shopee",1
Ngeri belan ja di sini..penanganan retur barang lama dan ga jelas kepastian dana kembali...dan admin kurang respon seperti boot.sangat mengerikan,1
Aplikasi yang merugikan seller. Jgn mau jualan di sini,1
Tiap buka fitur selalu download gagal,1
cakep,5
good,5
Pliss tahun baru nanti ada kan promo 🙏🙏,5
mantap,5
"Parahlah kurir rekomendasi tokopedia gk ada yg bener ngaco semua, salah satu alasan yg bikin berpaling ke toko sebelah gratis ongkir pun pengirimannya optimal dan cepat.",5
sangat ok,5
"lebih suka belanja di sini, sudah dari dulu",5
mantap,5
"ok banget,terima kasih tokped",5
"Pengiriman lama sekali & sudah 7 hari, tetapi tidak bisa ajukan komplain lalu apa fungsi tombol komplain.",1
mantap tokopedia,4
Its a fake..promo stlh di klik gk berlaku.. its a fake,1
oke,5
Istimewa,5
semua memang mudah hati hati dengan penipuan kontak langsung dgn media wa,5
Voucher tidak bisa digunakan,1
"barang blm sampai"".. penangangan lambat.. parah banget ini aplikasi.. gak ada kejelasan lg.. tutup aja",1
Saldo sy 150.000 di aplikasi ini tdk bisa di gunakan.,5
"Aplikasi force close terus, dinstal ulang aplikasinya pun tetap sama. Aplikasinya error ketika masuk ke sesi pembayaran saja. Ditambah ada asuransi pengiriman, di toko sebelah gak pake gituan, karena sudah include. Ya kali sudah bayar ongkir tapi gak dapat perlindungan kehilangan. Di toko sebelah gak pake asuransi pun barang hilang tetap diganti. Aneh tokopedia, nambah2in pengeluaran aja.",1
nice,5
mantap,5
mantap,5
"ribet cmen karena ngirim ke toko yg sama pembelian dibatalin langsung, wong itu toko keluarga ya wajar banyak yg pake alamatnya skrng duit nyangkut kaga bisa balik BINTANG 1",1
good,5
"APLIKASI SAMPAH, 2 X BELI BARANG PROMO 2 X PULA DI BATALKAN SISTEM, PROMO NYA PENIPUAN , PEMBELIAN PROMO TIDAK DAPAT DI BELI, APLIKASI SAMPAH, AYO SEMUA USER BERI RATING 1 AGAR DI HAPUS DARI PLAYSTORE APK INI.. SAMPAH",1
bagus mudah-mudahan banyak promo sama diskonan,5
Kalau mau return susah ! Gak kayak toko sebelah !,1
mantap,5
"Percayalah... Jika ada barang yang lewat di beranda tokped dengan harga murah,itu pasti bukan harga promo... Dan jika di click pasti kecewa..😁 karena harga yang tercantum di depan,bukanlah harga barang yang dipasang,melainkan harga barang lain yang nilainya memang murah... Dan ini yang bikin malas browsing barang belanjaan di tokped... Sering kecewa...😁",5
mntap,5
Pelayanan kurir nya buruk kata kurir nya GK bisa hari ini ngantar paket nya eh malah di tunda jadi sistem cod saya mati karena dia udah gitu dia ngantar paket nya GK sampe rumah padahal sudah ada alamat rumah ku🙄,1
"kalau ada pesanan tidak sampai, pengembalian dana nya sangat lama, ribet 1 bulan baru d kembalikan. payah kalo misalnya pesanan tidak sampai buang waktu buang uang juga karena kita keburu kesel ngikuti proses yang ribet,",1
"banyak promooo, muantepp",5
good,5
"udah punya akun tapi ga bisa login kocak, masukin kode verivikasi loading setahun endingnya tetap ga bisa login, mending apk sebelah inisial shoope yang lebih simpel",1
"Aplikasi yg sangat buruk, menjijikan ,sampahh",1
Ini yg kerja di tokped bukannya makin ditingkatkan kualitasnya.. malah makin g*blok...,1
Paket hilang di complain tidak direspon tokped anjg mending bli di shoppe,1
"Sudah mau 3 bulan barang tidak sampai dan refund juga tidak bisa alasan berbelit2, aplikasi paling jelek , tidak ada tanggung jawab dan no respon bila di chat..",1
"Barang gak sampai udah 2 Minggu, sekarang malah dikembaliin lagi ke penjual karena gagal. Tapi uang saya belum di reffund",3
mantapp banget Tokopedia,5
"Kecewa dengan tokopedia,ketika saya ada masalah, ketika mau menghubungi cs sangat ribet,yang ada pertanyaan saya dibalas oleh sistem yang kadang balasannya mutar-mutar di situ-situ aja.",2
sangat memuaskan,5
"Sudah dua kali paket bermasalah. Ga sesuai estimasi, malah jauh dari estimasi Kerjasama sama kurirnya buruk",1
ok si cuma ksel kmren udh dpet hrga murah knpa di gagalin sistem.,4
"sangat mantap dan menggiurkan,tapi tolong diperbaharui supaya masuk aplikasi tidak lemot",5
bagus,5
"Sekarang kok sampah bgt pas diupdate, pas saat mau masuk Loadingny lama bgt Mlh bagus yg versi sebelumny",1
promonyaaa banyak,5
bagus,4
Suka dg aplikasi tokped selalu bnyk discon dan promo,5
mantap poko nya,5
anjay mabar,5
"klaw cod 2-3hari barang langsung datang,tapi klaw udah TF 2 Minggu barang gak dateng2",2
"(+) Potongan2 harga barang yg ditawarkan cukup bnyk. (-) pengiriman lamban, kalah jauh dr marketplace sebelah (yg punya perusahaan ekspedisi sendiri) + status pelacakannya selalu update, malah mereka berani kasih kompensasi kl molor dr estimasi.",3
mudah dan lengkap,5
ok,5
Pembelian semua dibatalian sistim tokopedia. Padahal tdk ada manipulasi transaksi. Paraahh,1
co pertama ta kasih 3 dulu min,3
"ga niat ngasih promo, giliran promo sering dipake malah dibanned.",1
sangat puas,5
alhamdulillah selalu puas berbelanja disini,5
tokopedia pelayanan mantap,5
"Barang yang dikeranjang hilang saat Melebihi batas diatas 50, Payaah~",1
Sangat membantu memudahkan kita untuk berbelanja oline,5
Terima kasih Tokopedia sangat membantu dengan harga promo,5
"Retur susah, komplain susah, mau ngadu cs yg bales bot, skrg paylater saya tiba2 dibekukan, pdhl rajin bayar, gk pernah telat, kredit skor jg cuma di satu paylater ini tp ttp aja diblokir, barang saya hilang diperjalanan gk ada tanggapan chat cs nya, duit ilang barang gk sampai, kacau, asli apk terampas ya ini tokopedia, masih mending shopee.",1
Harga barangnya murah dan berkualitas premium.,5
ok,5
"Habis pembaruan malah alamat utama ganti otomatis ke alamat yg dulu, mana gk ngeh kalau ganti (sebelum pembaruan, paket sebelumnya sampai ke alamat utama yg benar, habis pembaruan gk diotak atik malah tiba2 ja ganti, ngehnya pas paket ud nyampe), jadi paket nyasar ke rumah yg udah dijual ke orang.",1
murah jir,5
mantap,5
"Harus bgt ya tiap bulan update aplikasi cuma buat ganti icon app? Benahin dulu noh sistem kuponmu, gk bisa di klaim. Pengguna laen dapet kupon aku ngga",1
mantap,5
"Ampun dah pengirimannya kyk keong, ayo donk dbenahi dr ekspedisinya.",2
suka sekali terimakasih Tokopedia,5
sukses selalu,5
"Mohon maaf ya, pesanan kamu dibatalkan karena adanya indikasi pelanggaran Syarat dan Ketentuan berupa penggunaan promo melebihi limit per orang dan/atau kesamaan identitas dengan pembeli lain dan/atau produk melanggar sesuai dengan S&K poin M2 atau M9 yang ada di sini. SAYA GA BUAT BANYAK AKUN BUAT DISKON. MASA AKUN SAYA KENA PELANGGARAN. GA LOGIS.",1
mantab,5
Baguss,5
sangat membantu terimakasih tokopedia,5
saya masih kurang paham setiap pembelian selalu gagal dan saldo di balikin,1
cukup bagus,5
"Jarang kasih promo diatas 25k, ekspedisi suka berubah semau tokped padahal udh pilih JNE yg pasti cepat nyampe gmn dong nih jgn asal pilih dong",1
"Tokopedia kenapa update Mulu tiap bulan ya,menuh Menuhin aplikasi jadi tambah gede aja mb nya,,mana hpku ram nya kecil hadeh,,",3
Promo pengguna baru hilang terus Gak bisa diapain padahal tabungan udah cukup tapi waktu mau beli promonya hilang semua Promo pengguna baru yg tadinya 60rb turun jadi 30rb habis tu hilang yg tinggal cuma promo gopay 11rb Apk Gak becus masak ngurusin promo aja gak bener,1
alhamdulillah semenjak ada GOPAY later usaha saya sedikit terbantu terimakasih tokped terimakasih gopay,5
sangat puas belanja ditoko pedia,5
"Sangat buruk di pengiriman proses lama, pengiriman lama, pelacakan paket tidak jelas dan utk proses pembatalan jg sulit, setiap melakukan pembatalan pasti di tolak.",1
mantap,5
"saya mengajak pengguna baru untuk mendownload tokopedia dan berbelanja dengan referal saya, tapi kenapa hadiah gopay coin nya tidak masuk padahal transaksi sudah berhasil? padahal banyak akun yg menggunakan referal saya.",3
banyak harga promo di tokopedia. jd suka belanja disini...,5
banyak keuntungan belanja di tokopedia,5
Tokopedia marketplace terburuk,1
Bagus,5
mantap,5
Khusus penjual knp gak bisa lebih terus terang dgn kwalitas barang anda .. di komplain dan di kasih penilaian jelek gak terima..,1
"Buat PIN aja susah banget, sudah coba bermacam macam angka random, tetap nggk mau, aneh",1
mantul,5
"Saya mau buat akun baru, karna yg lama tiba tiba dibatasi",5
mntap,5
joz dan mudah,5
praktis,5
"Sangat kecewa sekali. Kurir beemasalah, barang lama sampai melebihi target tanggal sampai . Kupon bisa hilang sendiri. Pusat bantuan lambat menangani. Mendingan di toko sbeleh beda harga seribu rupiah garansi tepat waktu 3 hari sampai. Komplain butuh waktu 7hari kerja. Klo memang on line 1x24 jam sudah selesai masalah.",1
sangat membantu,5
"Aplikasi sampah, nge bug mulu, lemott gak pernah dapet diskon padahal belanja banyak dan nominal besar mulu..",1
"Sangat direkomendasikan. Banyak toko terpercaya disini, sangat memuaskan.",5
mantep,5
Gak jelas harga brubah rubah,1
keren praktis dan cepat,5
guud,5
mudah dan membantu,4
Tlng untuk produk papp & likudi di perjelas,3
bagus,5
Bagus,5
oke,4
Aplikasi ga guna ga niat kasih kupon 30k aplikasi tolol,1
lumayan,5
"bagus, cuma pengantar nya lama",5
terjadi error saat login di android 14,1
Bagus,5
Terlalu sedikit kupon gratis ongkirnya dan jarang barang yang cod,1
mantap,5
tokopedia promo nya keren,5
TAMPILAN MEMBINGUNGKAN!!!!,1
Sayangakpintar. Making. Yutupnya.,5
Mohon diperbaiki. Saya tidak bisa masuk dari akun google maupun nomor dan tiktok shop. Itu saja,1
promo fantastis,5
mantapp,5
ok,5
Semoga bermanfaat untuk belanja onlinenya dan tidak mengecewakan,5
mantap,5
"apk gaje, ada diskon buat pengguna baru. waktu mau pemilihan pembayaran eror😂, kocak",1
terima kasih buat promo nya,5
Foto lama tidak muncul gambar,5
"Tokopedia care itu unfaedah, live chat tp balesnya lama bisa berjam jam, bhkan ada chat saya yg gak dibales, parah. Bangga dgn tokoediacare yg alakadarnya, belajarlah dari lazada gimana live chat yg sesungguhnya. 3 juta lbh saya rugi karna app yg 1 ini",1
sangat bagus,5
Makin kesini makin tolol aplikasi ada barang yang sudah di kirim dikembalikan lagi ke pusat dn juga dikirim ulang lagi uninstal lah,1
bagus,5
"Belum pernah coba belanja setelah upgrade 15-10-2024, tapi keren sih hampir semua yg kita cari 80% ada disini",5
"ringkas, cepat, efficient.",5
ok,5
mksh Tokopedia hargax murah,5
oke,5
cepet,5
Promo undang teman hadiah coin ga masuk pedahal transaksi sudah selesai 🤣parah minta chat sama cs ga bisa terus🤣,1
Tidak bisa mendownload burik,2
Pembatalan pembelian susah. Beli pakai instan karena mau segera dipakai eh sampai lewat 1 hari gak juga direspon penjual. Pas Pengajuan pembatalan eh menunggu persetujuan penjual. Lah terus disini hak konsumen bagaimana. Akhirnya beli barang dimaksud ditoko lain karena mau segera digunakan. Payah. Terjadi lagi untuk yang kedua kalinya. Pilih online instan pengen cepet jadinya bikin mumet. Acara jadi berantakan.,1
Sulit di download ya. Waduh,1
"Pesanan saya tiba"" dibatalkam sistem dengan alasan manipulasi, padahal saya baru pertama kali memakai tokped, biasanya saya memakai shoppe, dan promo yang saya terima pun hilang. Sebenarnya yang manipulasi adalah pihak tokped. Jika tidak mau rugi jangan menawarkan banyak promo kosong. Lebih baik shoppe dari pada tokped",1
belanja di pedia memang mantap,5
Beuhhhhh kasussssss meeeeennnnnn,5
gacorr,5
Customer service buruk. Mempersulit customer. Tidak ada rasa tanggung jawab,1
"MASUKIN PIN AKUN BARU AJA SUSAHNYA MINTA AMPUN KAYA APA AJA, SAMPAH",1
memuaskan,5
"Tokopedia jadi bokbrok begini, banyak kendala ini itu membuat calon customer tokopedia beralih ke ecommerce lain krna merasa pelayanan yang tidak sepadan",1
Bagus,5
"Rekomendasi kurir tokopedia srenaknya kalo ngirim lama banget, gk bisa di cek resinya dari kurir,,hmmm auto uninstall ,",1
Keren murah banget,5
"sangat membantu, terima kasih",5
Apk sering error,2
bagus,5
Pencarian dengan foto tidak ada,3
pelayanan baik dan gampang di mengerti,5
semoga banyak promo terus,5
"Tolong ongkos kirim nya jangan terllu mahal walaupun jauh pengirimnya, melebihi dari barang 2x lipat. macam mana mau belanja kalo ongkos nya mahal, mubajir.",1
terimakasih Tokopedia,5
keren,5
bagusss,5
terima kasih dana cancel di kembali kan dan di belanjain lagi,5
baik banget tokped,5
Papua sekali belanja di Tokopedia selalu mendapatkan diskon harganya murah-murah aplikasinya aman dan lancar,5
Lambattttt,1
👌,5
"2 kali mesan lewat toko pedia ,yang datang sesuai pesanan",5
toko pedia mantab,5
gooiddd,5
amanah yg paling utama,5
mantap,5
di menu chatt penjual tidak bisa kirim vidio. terkadang nanya barang perlu share vidio untuk bertanya supaya jelas. apps sebelah si orange bisa kirim vidio. kok toped ga bisa?,2
Untuk saat ini sih masih baik2 ajah. Ga tau kedepannya akan LBH baik atau tidak...,5
saya jdi pelanggan baru semoga bisa amanah semua,4
"Kecewa, pas dateng barangnya ga nyala, udah komplen, ribet ngajuinya",1
"Ngga bisa dibuka apk nya, harus di update. Tapi tetep ngga bisa",1
mantap,5
sudah di uninstall karna saya dibohongi perihal promo pengguna baru,1
barang si ori tp kenapa bayarnya sulit hrs 2 menit udh di bayar jdi repot,2
Payah! cuman ngga rajin update. ngga bisa dipake aplikasi nya. Payah ! setiap bulan update mulu,2
"Baru pertama x pake tokped, dan langsung di bikin kecewa, bisa2 nya kurir salah kirim barang, udh 5hari saya nunggu paket saya, tau2 di kirim ke orang lain",1
g jelas... Barang hilang senilai 380rb yg di kembalilan 1rb doang.... Mending pakek shopee aj...,1
Makasih Tokopedia yang selalu ngasih bebas ongkir buat saya😁,5
Lebih mahal ongkir daripada barang,1
pedas.mantap.pengiriman cepat..dah order ke2xnya..,5
Cuma di sini pengiriman nya lama sampainya,2
t...o...p,5
Mau update aplikasi gagal terus kembali lagi dari awal,1
Pengalaman toko pedia lebih komplit dan mudah di dapat,5
Update mulu sekarang!!!,1
Pengiriman bisa ditingkatkan,1
"Kenapa sekarang ga bisa login ke tokopedia web, keterangan nya selalu ada gangguan,",5
Tokopedia ribet.,1
"Setelah di update bukannya makin bagus malah kacau. Tidak bisa kasih review, gitu masuk malah error mulu. Untuk kurir pengiriman nya tolong itu ID express gak usah di pakai lagi. Kurang ajar itu kurirnya, tidak ada kabar, tidak menghubungi, tidak ada konfirmasi maen campak saja barang nya. Dalam kota pun bisa2 nya pengiriman sampai 2 hari. Tolong di perhatikan ini komplain pembeli.",1
"Kecewa banget belanja di tokped , belanja 1,2 kali masih sabar karna pengirimannya super lama , tapi yg ke 3 malah hilang entah kemana barang saya , omegatttt kecewa beratttttt",2
"Kurir-kurir disini pada MOLOR, payah.👎👎👎",1
"keren banget, beneran semurah ini",4
MANTAB,5
bagus cepat,5
Bagus sih,5
good,5
"Kurir dajal lama pengirimannya, marketplace asu cs bot",1
Kok gak bisa lanjut ke pembayaran sekarang?? Error mulu nihh. Tolong segera perbaiki dong.,1
baik,5
mantap,5
mantul,5
ok,5
jos,5
Filter ekspedisi pengiriman & pilihan dukungan pengiriman pada toko menghilang setelah update aplikasi. Tolong diperbaiki kembali. Thanks🙏🏼,5
"CATATAN BUAT ADMIN TOKOPEDIA!!!! AGAR DIPISAHKAN PENILAIAN ULASAN UNTUK PENJUAL, EKSPEDISI DAN KURIR!!! AGAR TIDAK SELALU MERUGIKAN PENJUAL. EKSPEDISI DIOPER LAGI, PAKET RUSAK GIMANA KITA MAU MENILAI??? BINTANG 3 ? SIAPA YANG DIRUGIKAN??? PENJUAL LAGI??? EGOIS KO DIPELIHARA TO MIN!!!",3
update trs fitur sama saja.,1
bagus,5
toko pedia mantabss... banyak promonya,5
Buruk dalam penyelesaian komplain,1
APLIKASI SAMPAH BANYAK GAYA PROMO MISKIN SEKALINYA GEDE GA BISA DIPAKE GOPAYLATER JUGA BANYAK YANG DI BANNED GAK JELAS DASAR TOKO SAMPAH!!,1
Kembalikan tombol wishlist di layar utama.,4
Makin ga tertarik buka Tokopedia harga harga ga jelas tertera harga itu di perjelas,1
diskon banyak,5
"Trimakasih Tokopedia ,atas diskonnya..",5
Pengiriman lama,1
Lebih mudah dan murah,4
bgus,5
oke,5
"Belum satu bulan sudah minta di perbaharui lagi, masa pembaharuan harus tiap minggu",2
GOOD APPS 2024 OCTOBER,5
Pengiriman terlalu lama. Tidak ada opsi pemilihan ekspedisi. Yg begini mau saingan sama toko oren👎👎,1
👍👍,5
"untuk saat ini ok, pengguna baru",5
mantap,5
mantap,5
"Pengiriman selalu telat,tidak sesuai dgn Estimasi,kadang seminggu lebih baru nyampe🤦!! Kalah sama aplikasi tetangga yg cepat!",1
Aplikasi mudah d gunakan,5
asik,5
Bagus apk ini,5
Sejauh ini oke,4
mudah mudahan brangnya sesuay,3
sangat membantu,5
mantap,5
"lemot banget apa lg suka eror,",1
Aplikasi nya bagus,5
Pindah ke shope aja semuanya,1
alhamdulillah bisa dengan mudah transaksi nya,5
Nih kenapa app nya gk bisa di update ya???,5
mantap,5
Oke siip,5
ko aneh dah di instal ga bisa di aktifin.aneh,1
"Halo Toped, mohon untuk ekspedisi JNE diperingati agar tidak lambat dalam pengiriman paket, sudah sering terjadi status tidak bergerak di JNE kota tujuan untuk dikirim ke rumah",4
"Mau pengajuan pengembalian barang susah, mlh bikin error hpnya..",1
katanya banyak promo buat pengguna baru. tp nyatanya saya baru donlod dan gk dapet promo pengguna baru tuh. dan gak dapet vocer apapun. aneh. mana sistem sibuk trs. mau pake jaringan wifi atau peketdata tetap saja sprti itu.,1
memuaskan,5
Kecewa udah langganan plus mau pake diskon pengiriman instant minimal belanjanya berubah ubah,2
Bagus,5
dana refund ga full dibalikin. bakal sepi peminatnya lu! ga rela ga ridho dunia akhirat. bukan lu tanggung jawab org dikecewain malah lu potong. CACAT!,1
semoga bermanfaat,4
bagus,5
mantap,5
"Bagus, tapi tak sempurna. Lebih ditingkatin lagi yaa, besar harapanku ama tokped lohh...😗",3
"Aplikasi sangat jelek dan buruk pelayanan, saya setiap beli sudah bayar selalu di batalkan sistem terus. Tidak jelas!!!",1
Bagus sekali tiap bulan ada potongan harga dan sdh bisa pembayaran dengan cod sngat membantu.. pelayanan sdh bagus pengiriman cpt dan perbanyak promonya..,5
